order_id,customer_id,amount,gst_amount,final_amount,order_date,month,year,day,region,product
1,9961,758,136.44,894.44,2024-03-06,3,2024,6,South,Laptop
2,5193,2718,489.24,3207.24,2025-07-19,7,2025,19,North,Mobile
3,9825,4927,886.86,5813.86,2025-04-23,4,2025,23,East,Tablet
4,4844,3661,658.98,4319.98,2024-11-16,11,2024,16,South,Headphones
5,7598,1097,197.46,1294.46,2024-11-12,11,2024,12,East,Smartwatch
6,9447,3145,566.1,3711.1,2025-09-19,9,2025,19,East,Shoes
7,5609,210,37.8,247.8,2024-03-03,3,2024,3,North,T-Shirt
8,6430,1558,280.44,1838.44,2025-05-24,5,2025,24,Central,Backpack
9,3108,3566,641.88,4207.88,2024-05-27,5,2024,27,Central,Monitor
10,6760,1913,344.34,2257.34,2024-03-09,3,2024,9,East,Keyboard
11,2419,225,40.5,265.5,2025-01-19,1,2025,19,Central,Laptop
12,8739,4653,837.54,5490.54,2025-12-14,12,2025,14,East,Mobile
13,8019,3313,596.34,3909.34,2025-06-21,6,2025,21,West,Tablet
14,5374,4583,824.9399999999999,5407.94,2025-07-10,7,2025,10,Central,Headphones
15,7148,1718,309.24,2027.24,2025-06-08,6,2025,8,East,Smartwatch
16,7557,2983,536.9399999999999,3519.94,2025-07-28,7,2025,28,Central,Shoes
17,3706,1291,232.38,1523.38,2025-01-10,1,2025,10,East,T-Shirt
18,7879,1479,266.22,1745.22,2024-04-03,4,2024,3,South,Backpack
19,9850,2814,506.52,3320.52,2025-09-05,9,2025,5,West,Monitor
20,8752,4496,809.28,5305.28,2024-11-25,11,2024,25,West,Keyboard
21,3247,4910,883.8,5793.8,2024-12-31,12,2024,31,North,Laptop
22,9334,3111,559.98,3670.98,2024-09-28,9,2024,28,South,Mobile
23,8142,2659,478.62,3137.62,2024-05-13,5,2024,13,West,Tablet
24,6134,2978,536.04,3514.04,2025-11-08,11,2025,8,North,Headphones
25,7070,4008,721.4399999999999,4729.44,2025-07-25,7,2025,25,Central,Smartwatch
26,9426,2822,507.96,3329.96,2025-04-15,4,2025,15,Central,Shoes
27,1159,603,108.54,711.54,2024-10-21,10,2024,21,South,T-Shirt
28,8372,2426,436.68,2862.68,2025-08-24,8,2025,24,Central,Backpack
29,3720,3272,588.9599999999999,3860.96,2025-02-02,2,2025,2,East,Monitor
30,8984,153,27.54,180.54,2024-11-20,11,2024,20,North,Keyboard
31,8363,2275,409.5,2684.5,2024-11-25,11,2024,25,Central,Laptop
32,4374,824,148.32,972.32,2024-06-15,6,2024,15,North,Mobile
33,3413,4866,875.88,5741.88,2024-03-08,3,2024,8,South,Tablet
34,3126,3580,644.4,4224.4,2025-02-09,2,2025,9,Central,Headphones
35,1318,932,167.76,1099.76,2025-10-11,10,2025,11,West,Smartwatch
36,4881,4534,816.12,5350.12,2024-02-16,2,2024,16,West,Shoes
37,1451,1827,328.86,2155.86,2025-09-19,9,2025,19,West,T-Shirt
38,3183,645,116.1,761.1,2025-08-27,8,2025,27,Central,Backpack
39,1662,1389,250.02,1639.02,2024-07-21,7,2024,21,East,Monitor
40,1812,4793,862.74,5655.74,2025-04-06,4,2025,6,Central,Keyboard
41,2661,1743,313.74,2056.74,2024-04-30,4,2024,30,Central,Laptop
42,5968,1609,289.62,1898.62,2025-07-08,7,2025,8,West,Mobile
43,5143,990,178.2,1168.2,2025-05-27,5,2025,27,South,Tablet
44,2327,1663,299.34,1962.34,2024-09-16,9,2024,16,North,Headphones
45,2145,2042,367.56,2409.56,2024-02-19,2,2024,19,South,Smartwatch
46,3701,478,86.03999999999999,564.04,2025-12-10,12,2025,10,East,Shoes
47,8227,155,27.9,182.9,2024-11-21,11,2024,21,West,T-Shirt
48,6229,1944,349.92,2293.92,2025-10-14,10,2025,14,South,Backpack
49,6800,2648,476.64,3124.64,2025-05-10,5,2025,10,West,Monitor
50,3868,766,137.88,903.88,2025-07-22,7,2025,22,North,Keyboard
51,9139,654,117.72,771.72,2025-07-09,7,2025,9,North,Laptop
52,3312,900,162.0,1062.0,2024-05-22,5,2024,22,North,Mobile
