order_id,customer_id,amount,tax_amount,final_amount,order_date,month,year,day,region
1,9961,758,136.44,894.44,06-03-2024,3,2024,6,South
2,5193,2718,489.24,3207.24,19-07-2025,7,2025,19,North
3,9825,4927,886.86,5813.86,23-04-2025,4,2025,23,East
4,4844,3661,658.98,4319.98,16-11-2024,11,2024,16,North
5,7598,1097,197.46,1294.46,12-11-2024,11,2024,12,East
6,9447,3145,566.1,3711.1,19-09-2025,9,2025,19,East
7,5609,210,37.8,247.8,03-03-2024,3,2024,3,North
8,6430,1558,280.44,1838.44,24-05-2025,5,2025,24,Central
9,3108,3566,641.88,4207.88,27-05-2024,5,2024,27,Central
10,6760,1913,344.34,2257.34,09-03-2024,3,2024,9,East
11,2419,225,40.5,265.5,19-01-2025,1,2025,19,Central
12,8739,4653,837.54,5490.54,14-12-2025,12,2025,14,East
13,8019,3313,596.34,3909.34,21-06-2025,6,2025,21,West
14,5374,4583,824.94,5407.94,10-07-2025,7,2025,10,Central
15,7148,1718,309.24,2027.24,08-06-2025,6,2025,8,East
16,7557,2983,536.94,3519.94,28-07-2025,7,2025,28,Central
17,3706,1291,232.38,1523.38,10-01-2025,1,2025,10,East
18,7879,1479,266.22,1745.22,03-04-2024,4,2024,3,South
19,9850,2814,506.52,3320.52,05-09-2025,9,2025,5,West
20,8752,4496,809.28,5305.28,25-11-2024,11,2024,25,West
21,3247,4910,883.8,5793.8,31-12-2024,12,2024,31,North
22,9334,3111,559.98,3670.98,28-09-2024,9,2024,28,South
23,8142,2659,478.62,3137.62,13-05-2024,5,2024,13,West
24,6134,2978,536.04,3514.04,08-11-2025,11,2025,8,North
25,7070,4008,721.44,4729.44,25-07-2025,7,2025,25,Central
26,9426,2822,507.96,3329.96,15-04-2025,4,2025,15,Central
27,1159,603,108.54,711.54,21-10-2024,10,2024,21,South
28,8372,2426,436.68,2862.68,24-08-2025,8,2025,24,Central
29,3720,3272,588.96,3860.96,02-02-2025,2,2025,2,East
30,8984,153,27.54,180.54,20-11-2024,11,2024,20,North
31,8363,2275,409.5,2684.5,25-11-2024,11,2024,25,Central
32,4374,824,148.32,972.32,15-06-2024,6,2024,15,North
33,3413,4866,875.88,5741.88,08-03-2024,3,2024,8,South
34,3126,3580,644.4,4224.4,09-02-2025,2,2025,9,Central
35,1318,932,167.76,1099.76,11-10-2025,10,2025,11,West
36,4881,4534,816.12,5350.12,16-02-2024,2,2024,16,West
37,1451,1827,328.86,2155.86,19-09-2025,9,2025,19,West
38,3183,645,116.1,761.1,27-08-2025,8,2025,27,Central
39,1662,1389,250.02,1639.02,21-07-2024,7,2024,21,East
40,1812,4793,862.74,5655.74,06-04-2025,4,2025,6,Central
41,2661,1743,313.74,2056.74,30-04-2024,4,2024,30,Central
42,5968,1609,289.62,1898.62,08-07-2025,7,2025,8,West
43,5143,990,178.2,1168.2,27-05-2025,5,2025,27,South
44,2327,1663,299.34,1962.34,16-09-2024,9,2024,16,North
45,2145,2042,367.56,2409.56,19-02-2024,2,2024,19,South
46,3701,478,86.04,564.04,10-12-2025,12,2025,10,East
47,8227,155,27.9,182.9,21-11-2024,11,2024,21,West
48,6229,1944,349.92,2293.92,14-10-2025,10,2025,14,South
49,6800,2648,476.64,3124.64,10-05-2025,5,2025,10,West
50,3868,766,137.88,903.88,22-07-2025,7,2025,22,North
51,9139,654,117.72,771.72,09-07-2025,7,2025,9,North
52,3312,900,162,1062,22-05-2024,5,2024,22,North
53,4872,3063,551.34,3614.34,23-09-2024,9,2024,23,Central
54,3667,408,73.44,481.44,07-12-2024,12,2024,7,Central
55,9150,448,80.64,528.64,29-12-2024,12,2024,29,South
56,2486,1540,277.2,1817.2,02-02-2024,2,2024,2,East
57,6156,949,170.82,1119.82,03-02-2025,2,2025,3,North
58,5034,360,64.8,424.8,22-04-2024,4,2024,22,North
59,2330,1109,199.62,1308.62,27-06-2025,6,2025,27,South
60,6202,2596,467.28,3063.28,14-05-2025,5,2025,14,West
61,2573,2674,481.32,3155.32,05-11-2025,11,2025,5,West
62,4451,709,127.62,836.62,28-06-2025,6,2025,28,West
63,8805,1786,321.48,2107.48,25-09-2024,9,2024,25,East
64,2829,906,163.08,1069.08,08-12-2025,12,2025,8,West
65,5424,3258,586.44,3844.44,27-10-2024,10,2024,27,East
66,9483,1632,293.76,1925.76,26-08-2024,8,2024,26,East
67,5310,3424,616.32,4040.32,23-10-2025,10,2025,23,Central
68,6420,921,165.78,1086.78,27-09-2024,9,2024,27,Central
69,7361,4677,841.86,5518.86,25-02-2024,2,2024,25,South
70,4488,2540,457.2,2997.2,09-12-2024,12,2024,9,South
71,7984,2346,422.28,2768.28,04-08-2025,8,2025,4,North
72,3438,2130,383.4,2513.4,18-05-2024,5,2024,18,East
73,7152,1518,273.24,1791.24,04-12-2024,12,2024,4,West
74,7262,4321,777.78,5098.78,04-04-2024,4,2024,4,Central
75,7650,4606,829.08,5435.08,16-05-2025,5,2025,16,Central
76,4228,2781,500.58,3281.58,13-12-2024,12,2024,13,West
77,1362,3727,670.86,4397.86,29-08-2024,8,2024,29,East
78,7431,1536,276.48,1812.48,14-06-2024,6,2024,14,Central
79,9180,1513,272.34,1785.34,16-02-2025,2,2025,16,Central
80,5789,2096,377.28,2473.28,04-05-2025,5,2025,4,West
81,9814,2892,520.56,3412.56,18-11-2025,11,2025,18,North
82,8181,281,50.58,331.58,15-11-2024,11,2024,15,North
83,8320,1528,275.04,1803.04,27-04-2024,4,2024,27,East
84,3749,2839,511.02,3350.02,31-08-2025,8,2025,31,East
85,2531,702,126.36,828.36,05-04-2025,4,2025,5,West
86,6400,4377,787.86,5164.86,26-05-2025,5,2025,26,Central
87,6579,3849,692.82,4541.82,12-03-2024,3,2024,12,North
88,7762,2847,512.46,3359.46,16-08-2024,8,2024,16,South
89,8320,797,143.46,940.46,15-07-2025,7,2025,15,East
90,8554,466,83.88,549.88,31-08-2025,8,2025,31,North
91,6533,2872,516.96,3388.96,14-11-2024,11,2024,14,North
92,5786,4664,839.52,5503.52,11-08-2025,8,2025,11,West
93,1564,1610,289.8,1899.8,07-09-2025,9,2025,7,West
94,1749,872,156.96,1028.96,10-10-2024,10,2024,10,East
95,8970,2579,464.22,3043.22,18-10-2025,10,2025,18,South
96,6390,969,174.42,1143.42,29-07-2024,7,2024,29,South
97,1764,653,117.54,770.54,24-06-2024,6,2024,24,South
98,3216,1303,234.54,1537.54,13-05-2025,5,2025,13,South
99,3958,3862,695.16,4557.16,10-04-2025,4,2025,10,West
100,1151,2256,406.08,2662.08,12-04-2024,4,2024,12,Central
101,6955,1838,330.84,2168.84,31-08-2025,8,2025,31,South
102,8249,2804,504.72,3308.72,26-05-2024,5,2024,26,North
103,9557,4789,862.02,5651.02,11-08-2025,8,2025,11,South
104,1833,1048,188.64,1236.64,06-01-2024,1,2024,6,South
105,8807,3479,626.22,4105.22,05-08-2025,8,2025,5,North
